fold,train_size,val_size,train_start,train_end,val_start,val_end,train_positive_rate,val_positive_rate
1,168,166,2020-03-31,2020-12-31,2020-12-31,2021-09-30,31.0%,30.1%
2,334,166,2020-03-31,2021-09-30,2021-09-30,2022-06-30,30.5%,31.3%
3,500,166,2020-03-31,2022-06-30,2022-06-30,2022-12-30,30.8%,30.1%
